date,inflow_cms,outflow_cms,rainfall_mm,temperature_c
2020-04-04,2889.64,2343.7,2.03,26.47
2020-04-05,2821.74,2551.88,6.55,26.41
2020-04-06,3661.27,3249.92,0.47,25.89
2020-04-07,3190.52,2642.45,0.0,26.78
2020-04-08,1950.44,1731.11,0.95,24.09
2020-04-09,2944.99,2427.83,3.14,26.97
2020-04-10,2271.91,2135.39,5.66,25.93
2020-04-11,2687.11,2303.21,2.59,24.9
2020-04-12,2754.18,2374.72,4.48,25.89
2020-04-13,2777.81,2638.8,2.52,26.3
2020-04-14,2802.1,2564.89,2.09,25.69
2020-04-15,2160.35,1945.95,0.0,26.54
2020-04-16,2186.35,1786.33,4.56,26.24
2020-04-17,3618.96,3357.77,2.23,27.55
2020-04-18,3624.3,3376.03,5.51,24.98
2020-04-19,2692.36,2239.9,4.98,26.88
2020-04-20,3223.37,2768.35,0.0,26.89
2020-04-21,2745.17,2518.82,2.4,23.83
2020-04-22,3451.45,3207.62,0.0,25.99
2020-04-23,3118.56,2953.29,1.44,24.34
2020-04-24,1973.02,1765.88,1.82,25.88
2020-04-25,2769.88,2359.52,0.0,26.49
2020-04-26,2774.93,2497.81,3.91,25.55
2020-04-27,2609.73,2122.51,0.37,25.44
2020-04-28,2757.19,2291.09,0.0,26.06
2020-04-29,1886.88,1735.76,1.8,26.04
2020-04-30,2520.11,2346.31,2.43,26.85
2020-05-01,2551.85,2121.62,0.53,24.17
2020-05-02,2689.98,2401.45,0.0,22.96
2020-05-03,1923.15,1796.76,3.7,22.6
2020-05-04,4031.55,3290.05,4.24,25.11
2020-05-05,1817.3,1556.69,0.38,22.68
2020-05-06,2541.37,2078.75,0.0,23.81
2020-05-07,3164.23,2767.96,4.11,24.24
2020-05-08,2830.95,2513.96,0.28,23.15
2020-05-09,3432.82,2933.21,1.22,22.92
2020-05-10,3170.47,2705.73,5.82,23.62
2020-05-11,2850.95,2346.13,1.28,23.35
2020-05-12,2539.74,2102.87,1.03,22.76
2020-05-13,2581.93,2446.01,0.0,24.27
2020-05-14,2704.42,2556.82,0.18,23.83
2020-05-15,2909.43,2619.35,0.55,23.06
2020-05-16,2839.73,2515.27,3.5,24.52
2020-05-17,2495.31,2155.48,0.87,22.59
2020-05-18,2148.98,1756.2,2.1,22.06
2020-05-19,3119.09,2720.38,0.0,23.86
2020-05-20,2539.27,2159.62,2.09,22.99
2020-05-21,3104.1,2760.62,4.21,24.36
2020-05-22,1811.34,1543.86,0.41,23.76
2020-05-23,2835.76,2626.69,2.98,25.17
2020-05-24,2935.04,2436.8,1.18,23.27
2020-05-25,2672.38,2347.58,3.09,24.62
2020-05-26,3148.45,2704.1,1.35,23.34
2020-05-27,3320.42,2806.44,0.65,21.36
2020-05-28,2807.37,2343.68,5.35,23.35
2020-05-29,3129.24,2796.4,3.78,23.68
2020-05-30,2208.57,1812.99,4.29,24.1
2020-05-31,3298.93,3029.37,3.93,23.67
2020-06-01,4270.32,3575.42,6.9,18.51
2020-06-02,4701.02,4339.93,9.91,17.83
2020-06-03,4365.06,4014.09,6.13,16.57
2020-06-04,4223.68,3785.14,17.78,17.97
2020-06-05,4706.72,3943.15,23.26,15.94
2020-06-06,4243.54,3649.99,13.02,17.84
2020-06-07,4827.18,3972.78,11.67,17.18
2020-06-08,5821.79,5419.03,10.78,17.05
2020-06-09,4554.7,4119.71,16.35,17.22
2020-06-10,4721.06,4206.5,13.5,15.86
2020-06-11,5296.59,4979.62,8.93,16.91
2020-06-12,4890.54,4205.13,27.23,17.52
2020-06-13,4421.0,4069.21,9.44,17.85
2020-06-14,3339.63,2845.51,10.62,17.63
2020-06-15,4332.11,3611.64,22.01,15.87
2020-06-16,4425.48,3818.48,11.96,15.68
2020-06-17,4384.53,3889.47,16.18,15.98
2020-06-18,4758.33,4518.19,7.21,16.84
2020-06-19,5786.68,4687.57,12.36,16.22
2020-06-20,4837.14,4008.07,11.31,17.16
2020-06-21,4483.62,3966.78,8.74,18.39
2020-06-22,3170.32,2802.4,0.0,15.76
2020-06-23,4328.66,4022.48,9.77,16.85
2020-06-24,4763.88,4103.18,17.0,15.67
2020-06-25,4967.84,3994.46,19.63,16.3
2020-06-26,4135.84,3419.44,12.59,16.87
2020-06-27,3888.94,3169.16,16.28,17.81
2020-06-28,4029.79,3463.92,13.41,17.25
2020-06-29,3959.47,3341.68,15.7,15.33
2020-06-30,5382.34,4612.42,4.55,16.18
2020-07-01,3721.69,3325.78,15.64,9.25
2020-07-02,3415.06,3217.9,1.48,7.46
2020-07-03,4227.54,3932.75,14.39,8.97
2020-07-04,4484.52,3602.73,9.99,9.35
2020-07-05,4653.9,4165.34,1.74,7.38
2020-07-06,4290.93,3608.01,4.27,8.1
2020-07-07,4597.92,3867.35,6.13,10.01
2020-07-08,4858.8,3895.05,9.19,8.53
2020-07-09,4628.01,4119.29,17.9,7.0
2020-07-10,4755.15,4077.4,11.05,8.81
2020-07-11,4187.59,3454.52,12.16,7.65
2020-07-12,4599.28,3948.0,3.39,8.58
2020-07-13,4038.38,3666.27,3.89,8.57
2020-07-14,3623.21,3407.72,24.49,7.7
2020-07-15,4070.82,3275.7,16.2,8.61
2020-07-16,3740.41,3327.19,11.97,7.34
2020-07-17,5074.64,4140.85,7.78,8.18
2020-07-18,4332.57,3748.65,23.85,7.95
2020-07-19,4853.88,4465.14,8.63,6.91
2020-07-20,4964.74,4040.0,1.42,9.14
2020-07-21,4462.78,3694.16,15.72,9.06
2020-07-22,4559.8,4098.43,16.9,8.62
2020-07-23,4916.96,4117.71,14.76,6.47
2020-07-24,4471.05,3599.6,16.91,8.13
2020-07-25,3959.47,3716.6,18.32,9.13
2020-07-26,4459.79,4122.35,9.21,8.89
2020-07-27,4548.06,3795.36,9.23,6.96
2020-07-28,5138.96,4354.21,10.43,8.13
2020-07-29,5223.49,4428.54,13.18,8.87
2020-07-30,4641.52,3730.2,3.9,8.59
2020-07-31,4541.14,4272.58,18.39,9.22
2020-08-01,4158.28,3718.03,8.94,-3.48
2020-08-02,4277.25,3692.14,20.72,-1.87
2020-08-03,4896.83,4128.45,10.2,-1.8
2020-08-04,3997.93,3223.59,7.39,-2.93
2020-08-05,3896.3,3672.24,5.58,-0.32
2020-08-06,4992.16,4701.17,10.72,1.31
2020-08-07,4168.05,3654.98,19.0,0.62
2020-08-08,4181.13,3483.19,8.81,-0.44
2020-08-09,4188.56,3959.72,9.02,-1.17
2020-08-10,5210.25,4712.17,8.58,-0.66
2020-08-11,4311.72,3796.67,7.77,-1.7
2020-08-12,5273.75,4291.37,22.78,-1.36
2020-08-13,4791.9,4229.47,15.26,0.08
2020-08-14,4411.53,3775.84,7.21,-0.12
2020-08-15,4024.66,3352.65,6.95,-1.01
2020-08-16,4241.19,3934.48,13.34,-4.48
2020-08-17,4064.89,3463.98,19.23,-0.66
2020-08-18,4840.95,4066.66,23.08,-0.76
2020-08-19,4652.78,4327.52,17.6,-0.58
2020-08-20,4910.24,4441.91,15.04,0.01
2020-08-21,5265.84,4908.45,8.1,-0.52
2020-08-22,4416.44,3755.16,12.88,-1.69
2020-08-23,4747.48,4159.36,14.51,-0.6
2020-08-24,4595.55,4111.97,12.28,-0.25
2020-08-25,3824.88,3121.28,20.97,-0.79
2020-08-26,4624.69,4367.78,21.46,0.21
2020-08-27,3779.25,3061.86,13.05,-0.59
2020-08-28,5036.82,4080.34,5.84,-2.81
2020-08-29,4982.51,4637.37,9.12,-0.87
2020-08-30,4220.54,3856.47,14.26,-1.13
2020-08-31,3482.38,3018.82,16.39,0.08
2020-09-01,3775.99,3113.47,0.0,-6.94
2020-09-02,4993.65,4199.61,18.73,-6.28
2020-09-03,4825.1,4163.86,11.4,-8.82
2020-09-04,5330.07,4447.91,17.39,-7.8
2020-09-05,3874.23,3601.69,20.66,-7.08
2020-09-06,4485.54,4110.95,13.62,-7.82
2020-09-07,4784.88,4374.12,14.69,-8.53
2020-09-08,4661.62,4066.0,19.5,-7.1
2020-09-09,4161.8,3454.62,22.81,-8.33
2020-09-10,4492.86,4131.78,2.45,-7.02
2020-09-11,4276.91,3428.98,0.66,-7.76
2020-09-12,4155.92,3506.56,26.83,-8.08
2020-09-13,4892.9,4486.68,14.55,-7.61
2020-09-14,4214.5,3995.34,10.42,-7.99
2020-09-15,4498.2,4015.65,5.05,-7.06
2020-09-16,5390.81,4596.17,6.74,-7.55
2020-09-17,3999.19,3539.81,10.31,-6.6
2020-09-18,4811.65,3924.8,9.04,-8.03
2020-09-19,5199.68,4184.38,17.55,-5.78
2020-09-20,4678.96,4305.86,14.36,-6.91
2020-09-21,5024.78,4080.2,8.79,-7.47
2020-09-22,4975.07,4460.34,10.81,-6.27
2020-09-23,5367.98,4360.11,13.19,-8.62
2020-09-24,4235.35,3704.79,15.71,-6.46
2020-09-25,5363.77,4474.82,14.62,-8.72
2020-09-26,4782.14,3847.7,8.99,-7.38
2020-09-27,4371.31,4066.37,1.99,-6.66
2020-09-28,4936.58,4224.01,0.81,-8.49
2020-09-29,4612.23,3993.23,18.28,-7.69
2020-09-30,5390.41,4791.28,2.2,-8.16
2020-10-01,2442.96,2223.01,5.76,-9.6
2020-10-02,1794.32,1567.95,3.65,-10.29
2020-10-03,2163.08,1874.95,2.26,-12.23
2020-10-04,2070.56,1777.91,0.69,-9.68
2020-10-05,1611.6,1476.26,5.32,-11.56
2020-10-06,1918.28,1773.13,0.0,-9.75
2020-10-07,1533.03,1368.34,2.14,-10.84
2020-10-08,2156.2,1878.47,4.69,-8.78
2020-10-09,2114.58,1877.33,3.86,-10.3
2020-10-10,2113.92,1709.24,2.35,-10.55
2020-10-11,2218.29,1787.72,3.1,-10.13
2020-10-12,1689.51,1480.16,2.62,-9.55
2020-10-13,2274.9,1975.09,3.69,-12.1
2020-10-14,2881.33,2318.02,1.26,-9.6
2020-10-15,2332.45,1936.59,0.92,-9.72
2020-10-16,1804.79,1491.79,5.15,-10.16
2020-10-17,2261.02,2129.19,3.99,-10.03
2020-10-18,2601.02,2303.44,4.93,-9.69
2020-10-19,2331.66,1940.76,5.37,-11.09
2020-10-20,2489.34,2237.11,1.46,-9.7
2020-10-21,1980.76,1843.32,3.66,-9.66
2020-10-22,2430.55,2091.79,4.13,-9.64
2020-10-23,2356.84,2171.07,0.54,-9.28
2020-10-24,2190.62,1792.0,5.58,-10.26
2020-10-25,1948.08,1653.31,3.03,-11.28
2020-10-26,1506.88,1306.92,1.23,-8.45
2020-10-27,1808.31,1508.3,0.35,-9.83
2020-10-28,1789.97,1556.42,5.18,-8.47
2020-10-29,2294.53,2014.28,2.35,-10.45
2020-10-30,1994.02,1714.5,0.69,-11.53
2020-10-31,2306.77,2055.76,7.88,-9.32
2020-11-01,2172.64,2040.23,2.49,-7.2
2020-11-02,1773.81,1548.33,2.44,-8.46
2020-11-03,1704.72,1501.64,4.94,-8.21
2020-11-04,2275.49,2064.84,0.0,-8.19
2020-11-05,1523.96,1374.86,2.73,-7.75
2020-11-06,2031.61,1841.37,0.33,-7.43
2020-11-07,1718.83,1516.93,5.79,-7.66
2020-11-08,2037.57,1920.84,2.14,-6.38
2020-11-09,2115.19,1759.43,2.43,-7.19
2020-11-10,1579.22,1462.32,6.5,-7.86
2020-11-11,2225.41,1872.06,4.49,-8.29
2020-11-12,1911.52,1720.62,5.5,-7.35
2020-11-13,1765.39,1456.81,7.45,-8.83
2020-11-14,2190.13,1823.31,3.83,-6.36
2020-11-15,2487.02,2135.44,0.0,-7.32
2020-11-16,1973.52,1871.22,8.16,-7.17
2020-11-17,1768.31,1604.99,0.13,-9.5
2020-11-18,2170.69,1825.82,6.26,-8.69
2020-11-19,1786.61,1568.39,1.83,-7.79
2020-11-20,2070.14,1929.39,0.0,-7.13
2020-11-21,2635.36,2372.94,0.65,-8.82
2020-11-22,2501.77,2175.99,3.84,-7.49
2020-11-23,1795.73,1580.92,1.02,-6.96
2020-11-24,1966.63,1796.37,1.19,-6.27
2020-11-25,1635.64,1345.9,1.93,-9.0
2020-11-26,2363.93,2075.87,3.28,-8.34
2020-11-27,2067.6,1910.28,1.95,-7.23
2020-11-28,2212.43,1781.95,4.91,-8.66
2020-11-29,1733.08,1630.03,1.59,-7.83
2020-11-30,1449.14,1245.6,4.02,-5.43
2020-12-01,1017.14,889.53,1.17,-0.97
2020-12-02,1320.46,1131.76,0.42,-0.43
2020-12-03,1449.9,1247.56,0.09,-1.24
2020-12-04,1434.13,1221.75,0.0,-0.95
2020-12-05,1342.62,1247.7,0.32,-0.8
2020-12-06,1293.74,1152.64,1.15,-1.65
2020-12-07,1432.42,1177.39,0.0,-0.94
2020-12-08,1147.62,922.54,0.35,-0.49
2020-12-09,1313.5,1150.52,0.0,-1.65
2020-12-10,1065.17,954.52,0.38,-0.46
2020-12-11,979.38,792.51,0.0,-0.58
2020-12-12,1246.64,1008.19,1.69,-1.56
2020-12-13,1197.27,975.96,0.21,-1.71
2020-12-14,1202.96,1054.29,0.64,-2.53
2020-12-15,1528.11,1320.15,0.9,1.29
2020-12-16,958.28,819.49,0.32,0.21
2020-12-17,1220.84,978.69,1.2,-0.24
2020-12-18,1155.87,928.03,0.0,-0.14
2020-12-19,1100.89,916.25,0.59,-2.12
2020-12-20,1296.17,1058.27,0.96,-2.96
2020-12-21,1815.14,1540.51,0.0,-1.04
2020-12-22,1256.76,1076.27,1.87,-1.87
2020-12-23,730.91,689.46,0.73,-0.79
2020-12-24,1132.73,1023.11,1.33,-2.6
2020-12-25,1198.32,1073.19,0.43,-0.08
2020-12-26,1485.52,1330.29,0.74,-1.64
2020-12-27,1342.1,1222.14,0.0,-0.94
2020-12-28,1803.35,1453.95,0.61,-0.76
2020-12-29,1186.29,1001.8,0.0,0.3
2020-12-30,1600.1,1438.82,0.0,-1.45
2020-12-31,1190.99,1089.34,0.73,-1.71
2021-01-01,1549.01,1384.35,0.0,6.75
2021-01-02,1174.38,1075.97,0.72,7.07
2021-01-03,1413.97,1140.08,2.23,9.46
2021-01-04,1749.82,1572.16,1.1,8.59
2021-01-05,1208.76,1135.28,0.0,7.41
2021-01-06,979.68,873.81,0.0,6.05
2021-01-07,1244.69,1161.34,0.28,6.66
2021-01-08,1528.25,1416.65,0.74,8.27
2021-01-09,1258.22,1149.08,0.73,9.21
2021-01-10,1264.99,1136.5,1.21,8.73
2021-01-11,1345.26,1274.9,0.0,7.91
2021-01-12,1278.53,1063.77,1.15,8.58
2021-01-13,1609.57,1464.58,0.52,10.3
2021-01-14,1568.86,1388.05,0.0,8.08
2021-01-15,1488.34,1332.72,0.8,7.38
2021-01-16,1419.52,1188.14,0.3,7.98
2021-01-17,1247.74,1147.94,0.0,8.26
2021-01-18,949.87,786.69,1.08,9.45
2021-01-19,1599.16,1412.27,0.01,6.55
2021-01-20,1023.42,953.32,0.14,7.18
2021-01-21,1731.74,1615.59,0.18,6.3
2021-01-22,1664.3,1332.24,1.84,7.25
2021-01-23,918.59,844.3,1.51,8.18
2021-01-24,1091.06,883.46,2.27,7.7
2021-01-25,1685.53,1490.17,2.1,9.63
2021-01-26,1539.11,1421.76,0.0,8.83
2021-01-27,1095.45,885.98,0.5,9.12
2021-01-28,1137.68,998.42,1.26,8.68
2021-01-29,1014.58,861.61,0.35,7.16
2021-01-30,1266.19,1152.67,0.88,6.63
2021-01-31,1043.95,934.78,1.98,7.65
2021-02-01,1365.42,1170.95,1.42,16.7
2021-02-02,1771.15,1465.93,1.73,15.59
2021-02-03,1006.38,883.31,0.08,17.77
2021-02-04,1380.79,1158.34,0.38,18.03
2021-02-05,1251.26,1151.66,0.2,17.4
2021-02-06,1007.52,826.19,0.0,17.21
2021-02-07,1205.39,1096.21,0.0,16.84
2021-02-08,1149.45,1024.77,0.88,17.4
2021-02-09,1156.64,937.28,0.78,17.12
2021-02-10,1274.96,1070.02,0.34,17.36
2021-02-11,1244.72,1137.56,0.0,16.08
2021-02-12,1673.17,1354.94,0.28,16.47
2021-02-13,1296.5,1117.14,0.58,15.87
2021-02-14,1484.21,1192.23,0.27,17.25
2021-02-15,1321.83,1067.83,1.06,17.1
2021-02-16,909.36,827.18,0.08,15.89
2021-02-17,1441.76,1363.62,0.0,19.41
2021-02-18,896.22,732.31,1.43,16.57
2021-02-19,1164.54,1029.67,1.01,16.55
2021-02-20,1046.04,971.8,0.55,16.7
2021-02-21,1338.08,1086.87,0.8,18.81
2021-02-22,1031.97,851.23,0.0,16.55
2021-02-23,1802.5,1589.47,1.92,15.97
2021-02-24,1305.2,1202.04,0.0,16.35
2021-02-25,1285.28,1078.08,0.0,17.6
2021-02-26,1179.31,1077.32,0.0,15.55
2021-02-27,1323.75,1148.6,0.21,17.51
2021-02-28,1520.78,1339.51,0.44,16.03
2021-03-01,2797.84,2397.93,4.08,24.09
2021-03-02,2845.31,2398.8,0.0,23.95
2021-03-03,3347.37,2876.71,4.38,24.13
2021-03-04,2827.14,2328.7,3.71,24.57
2021-03-05,3062.54,2866.3,3.67,23.16
2021-03-06,2666.09,2206.55,1.19,23.89
2021-03-07,3104.36,2770.01,1.6,22.43
2021-03-08,2809.69,2655.35,4.82,23.85
2021-03-09,2781.99,2294.84,4.3,25.02
2021-03-10,2725.14,2246.43,3.97,23.62
2021-03-11,2693.23,2514.24,5.59,23.81
2021-03-12,2877.75,2383.1,1.29,23.86
2021-03-13,2921.68,2475.11,5.62,23.94
2021-03-14,3326.85,2890.66,1.76,23.5
2021-03-15,1903.98,1572.81,1.0,24.58
2021-03-16,3136.25,2556.34,3.09,23.02
2021-03-17,2635.72,2404.63,0.67,21.56
2021-03-18,3286.86,2803.22,5.04,23.49
2021-03-19,3290.05,2694.36,2.08,23.72
2021-03-20,2328.38,2102.41,4.38,23.19
2021-03-21,3009.71,2698.0,0.98,24.37
2021-03-22,2850.55,2410.99,5.88,24.62
2021-03-23,2273.3,2045.4,3.45,24.26
2021-03-24,2963.93,2669.34,1.52,22.62
2021-03-25,2860.05,2658.95,0.0,21.31
2021-03-26,1930.93,1827.67,3.69,23.4
2021-03-27,2422.97,2250.34,1.56,24.01
2021-03-28,3005.24,2744.07,1.48,24.48
2021-03-29,2589.3,2115.16,3.32,23.2
2021-03-30,2946.91,2400.2,5.68,21.7
2021-03-31,2681.49,2265.83,0.0,24.37
2021-04-01,3180.12,2969.74,5.42,26.73
2021-04-02,2540.27,2411.52,2.17,25.53
2021-04-03,2828.02,2289.41,4.32,26.35
2021-04-04,3265.4,3018.52,2.53,26.64
2021-04-05,2875.83,2523.88,4.0,24.19
2021-04-06,2524.83,2247.82,4.95,25.65
2021-04-07,2745.02,2445.99,3.91,27.22
2021-04-08,3499.83,3068.84,0.0,26.78
2021-04-09,2701.58,2358.88,0.31,26.42
2021-04-10,2857.34,2502.85,4.96,26.61
2021-04-11,2550.94,2138.09,2.39,25.56
2021-04-12,1916.9,1589.9,1.56,23.93
2021-04-13,2198.11,1826.74,3.52,25.8
2021-04-14,2802.75,2482.69,4.17,25.42
2021-04-15,2049.93,1926.45,2.23,25.22
2021-04-16,2722.27,2318.78,0.23,26.27
2021-04-17,3230.4,2823.48,2.04,25.6
2021-04-18,2538.84,2187.6,0.0,24.14
2021-04-19,2906.85,2590.54,3.02,26.92
2021-04-20,2583.05,2332.47,2.29,25.39
2021-04-21,2692.59,2338.34,0.22,25.11
2021-04-22,2677.25,2170.31,5.04,25.51
2021-04-23,2710.06,2550.87,0.7,27.23
2021-04-24,3262.84,2615.23,4.35,24.27
2021-04-25,3083.29,2749.94,2.47,26.38
2021-04-26,3054.64,2508.84,2.12,25.26
2021-04-27,2786.71,2352.7,1.58,28.68
2021-04-28,2605.74,2369.6,0.0,26.73
2021-04-29,3187.78,2881.35,2.85,27.84
2021-04-30,2501.81,2297.53,0.11,24.91
2021-05-01,3356.99,3099.72,1.5,21.77
2021-05-02,2522.73,2245.63,0.0,24.76
2021-05-03,3213.02,2750.93,4.25,23.34
2021-05-04,2314.22,1860.21,0.07,23.16
2021-05-05,3324.12,2829.13,4.79,23.44
2021-05-06,2514.5,2240.08,4.22,22.41
2021-05-07,2306.26,2186.81,0.82,25.48
2021-05-08,2615.16,2102.93,1.91,22.44
2021-05-09,3018.51,2588.77,2.01,22.49
2021-05-10,2655.28,2482.72,0.0,23.23
2021-05-11,3078.78,2741.47,1.33,22.05
2021-05-12,2205.49,1815.39,3.06,21.55
2021-05-13,3493.01,3193.6,6.46,23.37
2021-05-14,3291.09,2728.95,0.0,22.72
2021-05-15,2732.74,2296.97,1.06,23.65
2021-05-16,2997.58,2460.65,3.92,21.76
2021-05-17,3629.63,3169.88,0.16,23.88
2021-05-18,3159.79,2623.24,5.92,24.72
2021-05-19,2613.88,2277.55,1.79,22.06
2021-05-20,2896.37,2695.06,2.53,25.36
2021-05-21,2923.22,2393.31,1.22,22.92
2021-05-22,3149.27,2982.82,1.75,22.42
2021-05-23,3250.42,2887.38,1.9,22.14
2021-05-24,2462.9,2113.12,3.28,22.86
2021-05-25,1945.73,1725.07,8.28,24.78
2021-05-26,2665.24,2514.41,2.83,25.08
2021-05-27,2721.06,2525.4,1.7,24.75
2021-05-28,2718.22,2382.69,1.73,24.59
2021-05-29,3062.36,2458.67,2.39,25.55
2021-05-30,2703.43,2217.26,3.9,24.69
2021-05-31,2411.34,2220.04,0.0,22.69
2021-06-01,4158.02,3335.34,8.79,17.86
2021-06-02,4862.55,4430.13,15.1,17.42
2021-06-03,4203.08,3845.47,16.18,18.18
2021-06-04,4675.72,3802.72,18.42,16.18
2021-06-05,4487.99,3634.83,2.16,15.37
2021-06-06,4103.79,3780.56,10.15,17.03
2021-06-07,4804.3,4204.22,9.22,16.78
2021-06-08,4829.62,3900.08,17.63,16.84
2021-06-09,4145.21,3490.89,6.01,16.24
2021-06-10,4914.74,4168.8,10.84,15.46
2021-06-11,4433.74,3948.35,12.47,17.02
2021-06-12,5180.33,4239.78,4.15,17.01
2021-06-13,5001.85,4470.25,25.12,15.71
2021-06-14,4604.83,3850.97,9.05,17.84
2021-06-15,4779.72,4196.72,13.42,18.37
2021-06-16,4696.21,3948.16,8.95,15.17
2021-06-17,4485.96,3625.33,14.01,16.05
2021-06-18,4088.79,3271.11,18.73,16.37
2021-06-19,4507.69,3648.54,17.73,15.97
2021-06-20,4912.55,4163.09,6.8,16.73
2021-06-21,4111.23,3482.22,16.37,16.51
2021-06-22,4631.28,4006.39,13.16,16.77
2021-06-23,4878.03,4186.07,11.61,18.98
2021-06-24,5211.37,4172.51,17.56,17.52
2021-06-25,4091.8,3740.54,13.15,17.07
2021-06-26,4544.33,3838.63,13.18,17.2
2021-06-27,4357.66,3721.47,9.37,17.14
2021-06-28,4500.26,3892.32,15.61,15.56
2021-06-29,4395.27,3550.74,3.57,15.58
2021-06-30,4273.38,3945.72,20.71,16.6
2021-07-01,4741.26,4418.97,9.78,10.1
2021-07-02,4835.24,4308.99,5.57,7.26
2021-07-03,4291.02,3635.97,19.65,8.81
2021-07-04,3905.29,3542.03,21.86,8.19
2021-07-05,4425.89,3579.28,6.73,6.59
2021-07-06,4520.46,3797.81,5.99,6.47
